,test_subject,window_size,cnn_kernel_size,cnn_layers,cnn_activation,cnn_output_size,dense_activation,dense_layers,optim_loss,optim_lr,optim_optimizer,training_epochs,training_batch_size,left_validation_rmse,right_validation_rmse
41,AB2,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,20.84152847705777,21.324956329475974
42,AB3,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,22.223010254942093,22.41525378943681
43,AB4,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,21.116879883602632,20.686264206053934
44,AB5,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,20.80839116867919,21.14166177976403
45,AB6,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,20.28648996169971,21.054124219052913
46,AB7,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,20.09673007008836,21.28970748095685
47,AB8,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,20.50764910120409,21.168831407807478
48,AB9,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,20.99210757752993,22.07269849198101
49,AB10,80,30,3,relu,1,sigmoid,"(1, 30)",mean_absolute_error,0.0001,adam,200,128,20.80030827408059,21.76223758525759
50,AB1,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,6.71824586810332,6.462779061594664
51,AB2,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,9.820166340571248,9.555002010491318
52,AB3,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,15.005912658136992,15.312074493406874
53,AB4,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,8.065641513487183,7.094368105636056
54,AB5,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,6.755451821014118,5.916310540157561
55,AB6,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,6.782089262935725,5.935424023777099
56,AB7,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,6.196129332312937,5.8104238095580785
57,AB8,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,6.6657201702202045,7.519075173625868
58,AB9,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,10.144537487639937,10.90595957444288
59,AB10,80,30,2,sigmoid,3,tanh,"(0, 1)",mean_absolute_error,0.0001,sgd,200,128,9.16074465073234,9.94112071931507
