,leftJointPosition,rightJointPosition,leftJointVelocity,rightJointVelocity,imuGyroX,imuGyroY,imuGyroZ,imuAccX,imuAccY,imuAccZ,leftGaitPhaseX,leftGaitPhaseY,rightGaitPhaseX,rightGaitPhaseY
255,0.1698987484,-0.36395916340000006,0.5924523473,1.31316483,0.12232499599999999,-0.05670000017000001,0.4866749907,0.6860000029000001,-10.79959998,0.8036000222,1.0,-2.4492935982947064e-16,-0.9353241417537211,0.353791958434141
256,0.1683646739,-0.3536041677,0.3656260967,1.506040096,0.12232499599999999,-0.05670000017000001,0.4866749907,0.6860000029000001,-10.79959998,0.8036000222,1.0,0.0,-0.9430807674052091,0.332563777568156
257,0.16491299869999998,-0.3443997204,0.07862491161,1.594284892,0.23852500199999999,0.035,0.574175024,0.46059998420000003,-10.09399972,1.038799988,0.9997408848413492,0.022763197856105682,-0.9503556665478066,0.3111657228238264
258,0.16491299869999998,-0.3328941464,0.05202827603,1.7826002840000001,0.23852500199999999,0.035,0.574175024,0.46059998420000003,-10.09399972,1.038799988,0.9989636736467276,0.045514599132963594,-0.9571451231564523,0.2896087243468674
259,0.16491299869999998,-0.3225391507,0.03553796932,1.86309731,0.33039998530000003,0.1172499967,0.6147750187,1.028999968,-8.878800177999999,0.8917999819,0.9976687691905392,0.06824241336467098,-0.9634456691705703,0.26790379347159676
260,0.1656800359,-0.3118006289,0.05795253068,1.942738175,0.33039998530000003,0.1172499967,0.6147750187,1.028999968,-8.878800177999999,0.8917999819,0.9958568425315313,0.09093486230884695,-0.9692540862655586,0.24606201709633505
261,0.1664470732,-0.2987609804,0.06956653297,2.013581514,0.3794000053,0.170625,0.599725008,1.372000006,-7.92820015,0.39199999119999995,0.9935288326650312,0.11358018605047482,-0.974567407496712,0.22409455202020784
262,0.166063562,-0.2891730368,0.02615683526,2.0934019090000002,0.3794000053,0.170625,0.599725008,1.372000006,-7.92820015,0.39199999119999995,0.9906859460363308,0.1361666490962466,-0.9793829188147405,0.2020126192442429
263,0.1664470732,-0.2745993137,0.02592411079,2.189385891,0.3783500147,0.18987500670000002,0.5699749947,1.23480002,-7.74200021,0.3136000149,0.9873296559154696,0.1586825464562513,-0.9836981604521077,0.17982749823967262
264,0.1656800359,-0.261559695,-0.02622992918,2.286902905,0.3783500147,0.18987500670000002,0.5699749947,1.23480002,-7.74200021,0.3136000149,0.9834617016337421,0.18111620970985573,-0.9875109281794826,0.15755052118636975
265,0.1664470732,-0.2477530241,0.011524210679999999,2.414027452,0.3708250093,0.174824996,0.551775012,-0.235200002,-7.261799967000001,0.2548000053,0.9790840876823229,0.20345601305263378,-0.990819274431662,0.13519306718435994
266,0.1664470732,-0.2354804277,0.006704822183,2.422569752,0.3708250093,0.174824996,0.551775012,-0.235200002,-7.261799967000001,0.2548000053,0.9741990826734791,0.2256903793212106,-0.9936215093023882,0.11276655644136696
267,0.1675976366,-0.2255089432,0.06657221913,2.299464464,0.3346000147,0.16747499470000002,0.3692500067,-1.107399981,-7.291200172999999,0.3430000015,0.9688092181649064,0.24780778599289993,-0.9959162014075551,0.09028244443936032
268,0.1675976366,-0.21745504440000002,0.05563507602000001,2.1264686580000003,0.3346000147,0.16747499470000002,0.3692500067,-1.107399981,-7.291200172999999,0.3430000015,0.9629172873477994,0.2697967711570243,-0.9977021786163599,0.06775221608308475
269,0.1668305993,-0.2090176344,-0.004840388894,2.0257353780000003,0.22470000269999998,0.1130500007,0.2028250027,-1.607200044,-8.859199846000001,0.5586000003,0.9565263435993347,0.291645939454825,-0.9989785286500293,0.04518737983356
270,0.1672141105,-0.2009637505,0.014493193480000003,1.920014858,0.22470000269999998,0.1130500007,0.2028250027,-1.607200044,-8.859199846000001,0.5586000003,0.9496396989003193,0.31334396798488223,-0.9997445995478118,0.022599461829550756
271,0.1668305993,-0.1948274523,-0.0159095861,1.739271641,0.1275749993,0.07455000401,0.001225000005,-3.7533998669999997,-8.908199799,-0.4214000143,0.9422609221188205,0.3348796121709861,-1.0,1.2246467991473532e-16
272,0.1664470732,-0.1906087548,-0.041527099910000004,1.501767516,-0.1979250073,0.10009999630000001,-0.2325749993,-3.596600133,-13.17119982,0.5389999971,0.9343938371606711,0.3562417115894168,-0.9997445995478118,-0.022599461829550513
273,0.1664470732,-0.1906087548,-0.041527099910000004,1.501767516,-0.1979250073,0.10009999630000001,-0.2325749993,-3.596600133,-13.17119982,0.5389999971,0.9260425209878053,0.37741919575261446,-0.9989785286500293,-0.04518737983356064
274,0.1679811478,-0.1886911541,0.041378732769999996,0.7659808397,-0.1979250073,0.10009999630000001,-0.2325749993,-3.596600133,-13.17119982,0.5389999971,0.917211301505453,0.39840108984624145,-0.9977021786163599,-0.06775221608308495
275,0.1664470732,-0.18907468019999998,-0.05244171619,0.6205354929,-0.5232499933,0.1545249987,-0.1450749993,-3.743599993,-14.35700033,2.097200015,0.9079047553192889,0.41917652041666414,-0.9959162014075551,-0.09028244443936007
276,0.1652965248,-0.19214282929999998,-0.1065413505,0.3014431298,-0.5232499933,0.1545249987,-0.1450749993,-3.743599993,-14.35700033,2.097200015,0.8981277053636961,0.4397347210059058,-0.9936215093023882,-0.11276655644136671
277,0.1675976366,-0.1975120753,0.04759311676,-0.06095648557,-0.747424984,0.20580000399999998,-0.126875,-2.116800055,-12.65180008,2.057999936,0.8878852184023752,0.46006503773115215,-0.9908192744316621,-0.13519306718435972
